"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment","Native"
"1",31.3333333333333,2.02758751009941,"0_104",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",28,6.3,22.681,33,12.197,37.467,"104","Non-Native Bacterium"
"2",31.3333333333333,2.02758751009941,"0_104",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",31,12.634,40.608,31,10.909,35.189,"104","Non-Native Bacterium"
"3",31.3333333333333,2.02758751009941,"0_104",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",35,13.618,38.663,35,18.471,52.443,"104","Non-Native Bacterium"
"4",29,2.51661147842358,"0_105",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",26,12.647,49.061,30,10.285,34.798,"105","Non-Native Bacterium"
"5",29,2.51661147842358,"0_105",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",27,12.83,47.715,31,12.329,39.77,"105","Non-Native Bacterium"
"6",29,2.51661147842358,"0_105",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",34,11.292,33.539,32,12.791,39.834,"105","Non-Native Bacterium"
"7",29.3333333333333,1.66666666666667,"0_108",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",26,11.853,45.012,29,12.349,43.078,"108","Non-Native Bacterium"
"8",29.3333333333333,1.66666666666667,"0_108",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",31,10.121,32.418,31,15.692,50.082,"108","Non-Native Bacterium"
"9",29.3333333333333,1.66666666666667,"0_108",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",31,17.982,57.8,29,12.136,41.216,"108","Non-Native Bacterium"
"10",30.3333333333333,0.666666666666667,"0_109",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",29,11.122,38.059,32,14.237,44.184,"109","Non-Native Bacterium"
"11",30.3333333333333,0.666666666666667,"0_109",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",31,10.285,33.659,33,13.227,40.353,"109","Non-Native Bacterium"
"12",30.3333333333333,0.666666666666667,"0_109",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",31,11.258,36.712,32,15.538,48.223,"109","Non-Native Bacterium"
"13",31,1.73205080756888,"0_6",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",28,12.807,45.026,29,10.256,35.098,"6","Axenic"
"14",31,1.73205080756888,"0_6",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",28,18.707,66.284,31,16.213,52.113,"6","Axenic"
"15",31,1.73205080756888,"0_6",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",34,16.435,48.497,35,15.937,45.535,"6","Axenic"
"16",31,1.73205080756888,"0_6",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",34,14.543,42.358,33,19.724,58.975,"6","Axenic"
"17",30.6666666666667,1.20185042515466,"0_93",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",29,9.435,32.045,32,14.368,45.215,"93","Non-Native Bacterium"
"18",30.6666666666667,1.20185042515466,"0_93",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",30,14.142,46.622,36,12.719,35.773,"93","Non-Native Bacterium"
"19",30.6666666666667,1.20185042515466,"0_93",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",33,9.964,30.606,32,17.85,55.975,"93","Non-Native Bacterium"
